time_sk,hour,minute,am_pm,time_band,shift_id
1114,11,14,AM,Morning,2
1115,11,15,AM,Morning,2
1116,11,16,AM,Morning,2
1117,11,17,AM,Morning,2
1118,11,18,AM,Morning,2
1119,11,19,AM,Morning,2
1120,11,20,AM,Morning,2
1121,11,21,AM,Morning,2
1122,11,22,AM,Morning,2
1123,11,23,AM,Morning,2
1124,11,24,AM,Morning,2
1125,11,25,AM,Morning,2
1126,11,26,AM,Morning,2
1127,11,27,AM,Morning,2
1128,11,28,AM,Morning,2
1129,11,29,AM,Morning,2
1130,11,30,AM,Morning,2
1131,11,31,AM,Morning,2
1132,11,32,AM,Morning,2
1133,11,33,AM,Morning,2
1134,11,34,AM,Morning,2
1135,11,35,AM,Morning,2
1136,11,36,AM,Morning,2
1137,11,37,AM,Morning,2
1138,11,38,AM,Morning,2
1139,11,39,AM,Morning,2
1140,11,40,AM,Morning,2
1141,11,41,AM,Morning,2
1142,11,42,AM,Morning,2
1143,11,43,AM,Morning,2
1144,11,44,AM,Morning,2
1145,11,45,AM,Morning,2
1146,11,46,AM,Morning,2
1147,11,47,AM,Morning,2
1148,11,48,AM,Morning,2
1149,11,49,AM,Morning,2
1150,11,50,AM,Morning,2
1151,11,51,AM,Morning,2
1152,11,52,AM,Morning,2
1153,11,53,AM,Morning,2
1154,11,54,AM,Morning,2
1155,11,55,AM,Morning,2
1156,11,56,AM,Morning,2
1157,11,57,AM,Morning,2
1158,11,58,AM,Morning,2
1159,11,59,AM,Morning,2
1800,18,0,PM,Evening,4
1801,18,1,PM,Evening,4
1802,18,2,PM,Evening,4
1803,18,3,PM,Evening,4
1804,18,4,PM,Evening,4
1805,18,5,PM,Evening,4
1806,18,6,PM,Evening,4
1807,18,7,PM,Evening,4
1808,18,8,PM,Evening,4
1809,18,9,PM,Evening,4
1810,18,10,PM,Evening,4
1811,18,11,PM,Evening,4
1812,18,12,PM,Evening,4
1813,18,13,PM,Evening,4
1814,18,14,PM,Evening,4
1815,18,15,PM,Evening,4
1816,18,16,PM,Evening,4
1817,18,17,PM,Evening,4
1818,18,18,PM,Evening,4
1819,18,19,PM,Evening,4
1820,18,20,PM,Evening,4
1821,18,21,PM,Evening,4
1822,18,22,PM,Evening,4
1823,18,23,PM,Evening,4
1824,18,24,PM,Evening,4
1825,18,25,PM,Evening,4
1826,18,26,PM,Evening,4
1827,18,27,PM,Evening,4
1828,18,28,PM,Evening,4
1829,18,29,PM,Evening,4
1830,18,30,PM,Evening,4
1831,18,31,PM,Evening,4
1832,18,32,PM,Evening,4
1833,18,33,PM,Evening,4
1834,18,34,PM,Evening,4
1835,18,35,PM,Evening,4
1836,18,36,PM,Evening,4
1837,18,37,PM,Evening,4
1838,18,38,PM,Evening,4
1839,18,39,PM,Evening,4
1840,18,40,PM,Evening,4
1841,18,41,PM,Evening,4
1842,18,42,PM,Evening,4
1843,18,43,PM,Evening,4
1844,18,44,PM,Evening,4
1845,18,45,PM,Evening,4
1846,18,46,PM,Evening,4
1847,18,47,PM,Evening,4
1848,18,48,PM,Evening,4
1849,18,49,PM,Evening,4
1850,18,50,PM,Evening,4
1851,18,51,PM,Evening,4
1852,18,52,PM,Evening,4
1853,18,53,PM,Evening,4
1854,18,54,PM,Evening,4
1855,18,55,PM,Evening,4
1856,18,56,PM,Evening,4
1857,18,57,PM,Evening,4
1858,18,58,PM,Evening,4
1859,18,59,PM,Evening,4
1900,19,0,PM,Evening,4
1901,19,1,PM,Evening,4
1902,19,2,PM,Evening,4
1903,19,3,PM,Evening,4
1904,19,4,PM,Evening,4
1905,19,5,PM,Evening,4
1906,19,6,PM,Evening,4
1907,19,7,PM,Evening,4
1908,19,8,PM,Evening,4
1909,19,9,PM,Evening,4
1910,19,10,PM,Evening,4
1911,19,11,PM,Evening,4
1912,19,12,PM,Evening,4
1913,19,13,PM,Evening,4
1914,19,14,PM,Evening,4
1915,19,15,PM,Evening,4
1916,19,16,PM,Evening,4
1917,19,17,PM,Evening,4
1918,19,18,PM,Evening,4
1919,19,19,PM,Evening,4
1920,19,20,PM,Evening,4
1921,19,21,PM,Evening,4
1922,19,22,PM,Evening,4
1923,19,23,PM,Evening,4
1924,19,24,PM,Evening,4
1925,19,25,PM,Evening,4
1926,19,26,PM,Evening,4
1927,19,27,PM,Evening,4
1928,19,28,PM,Evening,4
1929,19,29,PM,Evening,4
1930,19,30,PM,Evening,4
1931,19,31,PM,Evening,4
1932,19,32,PM,Evening,4
1933,19,33,PM,Evening,4
1934,19,34,PM,Evening,4
1935,19,35,PM,Evening,4
1936,19,36,PM,Evening,4
